1,1+,1-,1N,2,2+,2-,2N,3,3+,3-,3N,period
2.04541645718,2.082121186,2.00764408128,8303143,1.47184330185,1.52835950099,1.40898685516,529019,1.1073492981,1.18194020675,1.02937275005,153434,1
1.946070349,1.97675452337,1.91125720822,8598999,1.29757698132,1.34446250808,1.26030562823,575266,0.93431053203,0.996937952741,0.884936839612,181114,2
2.16871311309,2.20687938781,2.13922357973,9869208,1.49442379182,1.54476230362,1.44818786986,673424,1.06560738083,1.11967830754,1.01250680907,208838,3
1.97479230682,2.00036814884,1.93577463381,11521099,1.34104046243,1.39098816793,1.27940521817,804428,0.967515364355,1.01694440403,0.906064956049,250117,4
1.97910257154,2.01493672085,1.93778793409,12383410,1.39941751612,1.44835966675,1.35451893331,855654,1.02072310406,1.06667358718,0.969952956613,263530,5
1.99378039127,2.02823840323,1.95778218636,13278867,1.38657131506,1.43733943635,1.33989746661,895021,1.0110701107,1.06594640475,0.966590197277,271208,6
1.99929562202,2.0293502553,1.96088011328,13962676,1.40227952167,1.43932883724,1.36261449818,928922,1.02300194932,1.08575183282,0.9688527785,278218,7
1.99764595104,2.02948519111,1.96668922032,14627134,1.44216934145,1.48988761181,1.40368541482,973066,1.06825811264,1.12058305526,1.01556916029,290491,8
1.97789324053,2.00911779727,1.94331595413,15634102,1.45278969957,1.50152818047,1.40663010061,1052041,1.04880774963,1.11055942702,1.0013688227,311858,9
1.82807287657,1.85442906477,1.80072712379,16886833,1.34456584244,1.38820631718,1.31450162739,1178374,1.0295202952,1.06404426481,0.990571358586,353159,10
